fecha,Buenos Aires,CABA,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán,Suma,Argentina
2020-03-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-03-06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-03-07,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020-03-08,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
2020-03-09,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,17
2020-03-10,2,13,0,,0,,,,0,,,,,,,,,,,,,,,,15,19
2020-03-11,3,14,0,,0,,,,0,,,,,,,,,,,,,,,,17,21
2020-03-12,,15,0,,0,,,,0,,,,,,,,,,,,,,,,15,31
2020-03-13,,17,0,,0,,,,0,,,,,,,,,,,,,,,,17,34
2020-03-14,,,0,,0,,,,0,,,,,,,,,,,,,,,,0,45
2020-03-15,,,0,,0,,,,0,,,,,,,,,,,,,,2,,2,56
2020-03-16,,,0,,0,,,,0,,,,,,,,,,,,,,,,0,65
2020-03-17,,,0,,0,,,1,0,1,,,,,,2,1,,,1,,,,,6,79
2020-03-18,,,0,,0,,,2,0,,,,,,,,1,,,,,,,,3,97
2020-03-19,,,0,,0,,,,0,,,,,,,3,1,,,,,,,1,5,128
2020-03-20,,,0,,0,,1,3,0,,,,,,2,,1,,,,,1,,,8,158
2020-03-21,,,0,,0,,3,,0,,,,5,,,4,1,,,,,,,2,15,225
2020-03-22,,,0,,0,,,,0,,,,,1,,,1,,,,,,,7,9,266
2020-03-23,,,0,,0,,,,0,,,,,,,,1,,,,,,,,1,301
2020-03-24,,,0,,0,,,,0,,1,,,,3,,1,,,2,,,10,,17,387
2020-03-25,,,0,,0,,,6,0,,,,6,,4,,1,,5,7,,,11,9,49,502
2020-03-26,,,0,,0,,,,0,3,,,7,,7,,1,,6,9,,,14,,47,589
2020-03-27,,,0,,0,,5,9,0,0,,,8,2,11,7,1,,6,9,,2,,15,75,690
2020-03-28,,,0,,0,,9,,0,0,,,9,2,13,,1,,6,9,,2,18,15,84,745
2020-03-29,217,258,0,69,0,73,9,10,0,3,3,1,10,2,12,8,1,1,6,9,90,2,21,15,820,820
2020-03-30,253,292,0,81,0,81,19,13,0,3,3,1,13,2,20,8,1,1,6,9,111,2,32,15,966,966
2020-03-31,270,311,0,84,0,95,20,13,0,3,3,1,15,3,20,9,1,1,6,9,133,2,39,16,1054,1054
2020-04-01,280,321,0,96,0,101,21,14,0,3,3,1,25,3,24,9,3,1,7,19,144,2,39,17,1133,1133
2020-04-02,316,345,0,99,0,117,22,16,0,5,3,4,25,3,28,9,3,1,9,21,152,3,63,21,1265,1265
2020-04-03,338,373,0,107,0,131,22,18,0,5,3,4,27,3,29,10,3,1,10,21,160,3,64,21,1353,1353
2020-04-04,364,407,0,115,0,134,22,18,0,5,3,6,27,3,33,15,3,1,10,22,165,4,72,22,1451,1451
2020-04-05,397,439,0,115,0,139,22,19,0,5,3,8,29,3,44,17,3,1,10,23,176,4,75,22,1554,1554
2020-04-06,409,456,0,119,0,146,24,19,0,5,3,9,30,3,50,19,3,1,11,23,184,10,77,27,1628,1628
2020-04-07,443,480,0,123,0,150,24,20,0,5,3,9,32,3,53,21,3,1,11,31,187,9,79,28,1715,1715
